0	Date	Open	High	Low	Close	
	2023-06-15	23372.72	23617.94	22866.73	23456.81	
	2023-06-14	24150.8	24253.35	23010.01	23374.13	
	2023-06-13	24169.22	24558.25	23943.97	24150.81	
	2023-06-12	24335.76	24405.42	23970.0	24167.79	
	2023-06-11	24386.25	24593.73	24161.37	24333.55	
	2023-06-10	24709.65	24753.67	23935.45	24385.91	
	2023-06-09	24655.05	24935.71	24456.26	24707.95	
	2023-06-08	24678.13	24967.99	24535.36	24655.06	
	2023-06-07	25546.03	25666.4	24481.68	24678.18	
	2023-06-06	24159.22	25650.77	23850.01	25536.98	
	2023-06-05	25395.82	25419.46	23850.0	24159.46	
	2023-06-04	25337.66	25699.98	25232.52	25404.89	
	2023-06-03	25503.87	25576.63	25194.73	25337.5	
	2023-06-02	24991.8	25549.99	24706.01	25504.45	
	2023-06-01	25516.9	25643.45	24848.09	24991.26	
	2023-05-31	25872.28	26004.06	25243.79	25514.83	
	2023-05-30	25942.0	26166.83	25750.0	25871.01	
	2023-05-29	26199.65	26526.7	25733.96	25940.95	
	2023-05-28	25101.66	26351.93	25022.02	26182.0	
	2023-05-27	24979.12	25132.31	24830.22	25099.11	
	2023-05-26	24717.78	25185.97	24557.0	24981.7	
	2023-05-25	24550.96	24868.88	24155.52	24717.78	
	2023-05-24	25281.39	25285.6	24311.73	24551.0	
	2023-05-23	24881.67	25453.37	24825.29	25281.39	
	2023-05-22	24772.0	25090.69	24581.05	24880.91	
	2023-05-21	25129.45	25282.74	24701.45	24772.0	
	2023-05-20	24948.2	25190.0	24897.96	25129.45	
	2023-05-19	24956.57	25167.48	24683.08	24948.21	
	2023-05-18	25340.99	25443.49	24557.0	24956.58	
	2023-05-17	24930.81	25418.54	24585.98	25340.45	
	2023-05-16	25062.51	25172.0	24767.65	24931.99	
	2023-05-15	24891.22	25513.33	24708.0	25069.0	
	2023-05-14	24798.83	25179.38	24626.87	24894.0	
	2023-05-13	24741.69	25041.22	24635.49	24806.63	
